target_id,goal_id,target_name,target_desc,order
13-1,G13,기후변화로 인해 예상되는 위험을 감소시키고 자연재해에 대한 회복 및 적응능력을 강화한다,폭염·홍수·가뭄 등 기후재난에 대한 사전 대비와 사회 전반의 적응역량 확충,1
13-2,G13,기후변화에 대한 조치계획을 지방정책 등에 반영한다,광역·기초지자체 단위의 기후변화 대응 거버넌스와 계획체계 확립,2
13-4,G13,지구 온도 상승을 산업화 이전 대비 1.5도로 제한하도록 온실가스를 감축한다,2030 국가온실가스감축목표(NDC) 이행,3
14-1,G14,육상과 해상의 오염물질로부터 해양환경 보전을 위한 관리체계를 확립한다,해수수질 관리 및 해양폐기물 저감,1
14-2,G14,바다의 생태환경과 수산자원의 서식처를 적극적으로 관리한다,갯벌·바다숲 등 연안 서식처 복원,2
14-5,G14,해양생태계의 체계적 보전을 위해 해양보호구역 지정 면적을 확대한다,관할해역 대비 보호구역 비율 확대,3
15-1,G15,육상과 내륙담수의 생태계 다양성을 위해 보전과 복원 활동을 활성화한다,보호지역 확대 및 산림·습지 등 자연생태계 유지,1
15-4,G15,생물다양성 손실을 예방하기 위해 멸종위기종을 보호한다,멸종위기 야생생물 복원 및 서식지 관리,2
15-7,G15,단절된 생태축의 복원과 생태 네트워크 유지·관리를 위해 노력한다,백두대간·정맥 등 핵심 생태축 연결성 회복,3
S1-1,S1,미세먼지 농도를 낮춘다,초미세먼지 연평균 농도와 고농도 발생일수 관측,1
S1-2,S1,오존 등 광화학 오염을 관리한다,오존 주의보 발령 현황과 질소산화물 배출 관측,2
S2-1,S2,하천·호소의 수질을 개선한다,생물화학적산소요구량(BOD) 기준 수질 등급 관측,1
S2-2,S2,물 순환과 상하수 인프라를 확충한다,하수도 보급률과 물 재이용률 관측,2
S3-1,S3,생활 소음과 녹지 여건을 개선한다,도로변 소음도와 1인당 도시공원 면적 관측,1
S3-2,S3,자연생태 상태를 유지한다,자연환경 우수지역과 생물다양성 지수 관측,2
P1-1,P1,거주지역 환경에 대한 전반적 만족도를 높인다,연 1회 표본조사 기준 만족도 점수,1
P1-2,P1,대기질에 대한 체감 만족도를 높인다,대기질이 좋다고 응답한 비율,2
P2-1,P2,악취·소음 등 생활 환경 불편을 줄인다,최근 1년간 불편을 경험했다고 응답한 비율,1
P3-1,P3,기후위기와 환경정책에 대한 인식을 높인다,기후위기 심각성 인식률과 환경정책 신뢰도,1
P3-2,P3,생활 속 환경실천 참여를 확대한다,분리배출·에너지절약 등 실천 참여 응답률,2
