action_id	goal_id	target_id	title	summary	status	due_year	responsible	last_update	links
A-13-01	G13	13-1	기후위기 적응 취약지역 진단체계 구축	전국 시군구 단위의 폭염·홍수 취약성 평가체계를 마련하고 취약지역 우선 지원 기준을 수립하였다. 2024년 시범 진단을 완료하고 2025년부터 전국 확대 적용 중이다.	완료	2024	환경부 기후적응과	2025-12-20	진단 가이드라인|https://www.me.go.kr
A-13-02	G13	13-2	기초지자체 기후변화 대응 기본계획 수립 지원	미수립 기초지자체를 대상으로 컨설팅과 표준 수립지침을 제공하고 있다. 2026년 6월 기준 85% 지자체가 계획을 수립했으며 잔여 지자체는 2027년까지 완료 예정이다.	추진중	2027	환경부 기후정책과	2026-06-30	표준 수립지침|https://www.me.go.kr;추진현황|https://www.me.go.kr
A-13-03	G13	13-2	지자체 기후·에너지 전담조직 설치 확대	전담조직 설치율이 목표 대비 낮은 수준에 머물러 있다. 조직 정원 확보와 재정 지원 방안에 대한 관계부처 협의가 지연되고 있어 이행 시기를 재조정 중이다.	지연	2026	행정안전부·환경부	2026-05-15	
A-13-04	G13	13-4	2035 국가온실가스감축목표 수립	2030 NDC 이행 점검 결과를 반영한 2035년 목표 설정 절차를 진행 중이다. 부문별 감축 잠재량 분석과 이해관계자 공청회를 거쳐 확정할 계획이다.	추진중	2026	2050탄소중립녹색성장위원회	2026-07-10	공청회 자료|https://www.2050cnc.go.kr
A-14-01	G14	14-1	해양폐기물 전주기 관리체계 개선	발생 억제부터 수거·처리까지 전주기 관리계획을 수립하고 어구 보증금제를 도입하였다. 주요 항만 및 연안 지자체 대상 시행에 들어갔다.	완료	2025	해양수산부 해양보전과	2025-11-05	해양폐기물관리 기본계획|https://www.mof.go.kr
A-14-02	G14	14-2	갯벌 복원사업 확대	연안 개발로 훼손된 갯벌의 복원 대상지를 발굴하고 있으나 부지 확보와 지역 협의에 시간이 소요되어 목표 대비 실적이 부진하다. 2026년 하반기 신규 대상지 3개소를 착수할 예정이다.	지연	2030	해양수산부 해양생태과	2026-06-01	갯벌 복원 추진현황|https://www.mof.go.kr
A-14-03	G14	14-5	해양보호구역 30% 확대 로드맵 마련	쿤밍-몬트리올 글로벌 생물다양성 프레임워크의 30by30 목표 이행을 위한 단계별 지정 로드맵을 수립 중이다. 후보지 생태조사와 어업인 협의를 병행하고 있다.	추진중	2027	해양수산부 해양생태과	2026-07-22	후보지 조사보고서|https://www.mof.go.kr
A-15-01	G15	15-1	자연공원 및 보호지역 신규 지정	국립공원 구역 조정과 신규 습지보호지역 지정을 추진하여 보호지역 면적을 확대하고 있다. 지역주민 수용성 확보를 위한 상생협약을 병행 중이다.	추진중	2030	환경부 자연공원과	2026-06-18	보호지역 현황|https://www.me.go.kr
A-15-02	G15	15-4	멸종위기 야생생물 보전 종합계획 이행	제2차 종합계획에 따라 우선복원 대상종의 서식지 개선과 증식·복원 사업을 시행하고 있다. 반달가슴곰·산양 등 주요 종의 개체군이 안정화 단계에 진입하였다.	추진중	2027	환경부 자연보전과	2026-07-01	종합계획 본문|https://www.me.go.kr;복원 현황|https://www.nie.re.kr
A-15-03	G15	15-7	백두대간 단절구간 생태축 복원	도로·개발로 단절된 백두대간 마루금 구간의 생태통로 조성과 산림복원을 단계적으로 시행하고 있다. 2027년 우선복원 구간 착수를 위한 설계용역이 진행 중이다.	예정	2027	산림청 산림생태복원과	2026-04-30	
